size expected actual delta size_delta
752 1072611204 1072612952 1748 -217
753 1072650551 1072652098 1547 -201
754 1072688796 1072690153 1357 -190
755 1072726167 1072727544 1377 20
756 1072762619 1072764002 1383 6
757 1072797494 1072798954 1460 77
758 1072830841 1072832091 1250 -210
759 1072863082 1072864140 1058 -192
760 1072894440 1072895366 926 -132
761 1072925008 1072926176 1168 242
762 1072954837 1072955757 920 -248
763 1072983453 1072984617 1164 244
764 1073010657 1073011866 1209 45
765 1073036965 1073038058 1093 -116
766 1073062509 1073063642 1133 40
767 1073087398 1073088747 1349 216
768 1073111768 1073112728 960 -389
769 1073135050 1073135760 710 -250
770 1073157173 1073158008 835 125
771 1073178503 1073179041 538 -297
772 1073199186 1073199807 621 83
773 1073219449 1073219846 397 -224
774 1073239179 1073239457 278 -119
775 1073258053 1073258346 293 15
776 1073275919 1073276179 260 -33
777 1073293125 1073293388 263 3
778 1073309873 1073310206 333 70
779 1073326192 1073326722 530 197
780 1073342134 1073342665 531 1
781 1073357322 1073357959 637 106
782 1073371669 1073372538 869 232
783 1073385537 1073386425 888 19
784 1073398969 1073399505 536 -352
785 1073412086 1073412848 762 226
786 1073424851 1073425706 855 93
787 1073437026 1073437876 850 -5
788 1073448531 1073449304 773 -77
789 1073459592 1073460341 749 -24
790 1073470334 1073471072 738 -11
791 1073480798 1073481486 688 -50
792 1073490981 1073491725 744 56
793 1073500707 1073501440 733 -11
794 1073509858 1073510706 848 115
795 1073518646 1073519279 633 -215
796 1073527165 1073527675 510 -123
797 1073535473 1073536038 565 55
798 1073543583 1073544162 579 14
799 1073551292 1073551840 548 -31
800 1073558523 1073559040 517 -31
801 1073565468 1073565935 467 -50
802 1073572185 1073572491 306 -161
803 1073578762 1073579014 252 -54
804 1073585163 1073585482 319 67
805 1073591247 1073591538 291 -28
806 1073596935 1073597159 224 -67
807 1073602369 1073602572 203 -21
808 1073607668 1073607789 121 -82
809 1073612824 1073612912 88 -33
810 1073617847 1073617899 52 -36
811 1073622620 1073622693 73 21
812 1073627064 1073627147 83 10
813 1073631323 1073631414 91 8
814 1073635442 1073635590 148 57
815 1073639475 1073639567 92 -56
816 1073643391 1073643528 137 45
817 1073647103 1073647282 179 42
818 1073650574 1073650777 203 24
819 1073653875 1073654000 125 -78
820 1073657074 1073657140 66 -59
821 1073660190 1073660271 81 15
822 1073663230 1073663313 83 2
823 1073666117 1073666186 69 -14
824 1073668791 1073668870 79 10
825 1073671339 1073671465 126 47
826 1073673805 1073673887 82 -44
827 1073676207 1073676236 29 -53
828 1073678548 1073678619 71 42
829 1073680774 1073680842 68 -3
830 1073682828 1073682838 10 -58
831 1073684775 1073684793 18 8
832 1073686664 1073686662 -2 -20
833 1073688510 1073688435 -75 -73
834 1073690303 1073690313 10 85
835 1073691998 1073691974 -24 -34
836 1073693569 1073693624 55 79
837 1073695049 1073695091 42 -13
838 1073696487 1073696514 27 -15
839 1073697892 1073697932 40 13
840 1073699257 1073699228 -29 -69
841 1073700548 1073700517 -31 -2
842 1073701728 1073701707 -21 10
843 1073702854 1073702784 -70 -49
844 1073703940 1073703897 -43 27
845 1073704999 1073704932 -67 -24
846 1073706031 1073705969 -62 5
847 1073707005 1073706927 -78 -16
848 1073707899 1073707853 -46 32
849 1073708735 1073708693 -42 4
850 1073709553 1073709485 -68 -26
851 1073710348 1073710302 -46 22
852 1073711119 1073711103 -16 30
853 1073711853 1073711789 -64 -48
854 1073712521 1073712522 1 65
855 1073713145 1073713127 -18 -19
856 1073713747 1073713708 -39 -21
857 1073714341 1073714270 -71 -32
858 1073714918 1073714865 -53 18
859 1073715462 1073715431 -31 22
860 1073715958 1073715892 -66 -35
861 1073716420 1073716371 -49 17
862 1073716865 1073716802 -63 -14
863 1073717300 1073717268 -32 31
864 1073717728 1073717695 -33 -1
